"post_id","article_title","article_slug","featured_image_id","featured_image_url"
"235","Introducing <em>The Objective Standard</em>","introducing-the-objective-standard",\N,\N
"247","“Just War Theory” vs. American Self-Defense","just-war-theory","114495","https://www.theobjectivestandard.com/wp-content/uploads/2018/09/“Just-War-Theory”-vs.-American-Self-Defense.jpeg"
"253","The Hierarchy of Knowledge: The Most Neglected Issue in Education","hierarchy-of-knowledge","91345","https://www.theobjectivestandard.com/wp-content/uploads/2013/12/Hierarchy.png"
"257","Enlightenment Science and Its Fall","enlightenment-science","114492","https://www.theobjectivestandard.com/wp-content/uploads/2018/09/Enlightenment-Science-and-Its-Fall.jpg"
"261","Exposing Anti-Muslim “Conspiracies”","anti-muslim-conspiracies","114865","https://www.theobjectivestandard.com/wp-content/uploads/2018/10/Exposing-Anti-Muslim-“Conspiracies”.jpg"
"8213","The Social Worker and The President","the-social-worker-and-the-president-2","5937","http://beta.theobjectivestandard.com.s178790.gridserver.com/wp-content/uploads/2012/12/President_George_W_Bush2.jpg"
"8214","Faith and The Founders","faith-and-the-founders",\N,\N
"8215","'Flight 93'","flight-93","142494","https://theobjectivestandard.com/wp-content/uploads/2006/05/800px-N575UA-2008-09-13-YVR.jpg"
"15","Tribute to Iran","tribute-to-iran",\N,\N
"16","A Victory for 'Abstract Concepts of Personal Autonomy'","a-victory-for-abstract-concepts-of-personal-autonomy",\N,\N
"8216","The Form of the Blog Name","the-form-of-the-blog-name",\N,\N
"8217","The Little Dictators","the-little-dictators","212272","https://theobjectivestandard.com/wp-content/uploads/2006/05/wesley-tingey-snNHKZ-mGfE-unsplash.jpg"
"21","Welcome, Ayaan Hirsi Ali","welcome-ayaan-hirsi-ali",\N,\N
"7334","William Tecumseh Sherman and the Moral Impetus for Victory","william-tecumseh-sherman","81886","https://www.theobjectivestandard.com/wp-content/uploads/2014/01/Sherman-720.png"
"7337","Teaching Values in the Classroom","teaching-values-classroom","96872","https://www.theobjectivestandard.com/wp-content/uploads/2014/02/bigstock-education-classroom-720.jpg"
"7340","The 19th-Century Atomic War","19th-century-atomic-war","114867","https://www.theobjectivestandard.com/wp-content/uploads/2018/10/Induction-and-Experimental-Method.jpg"
"7342","Getting More Enjoyment from Art You Love","getting-more-enjoyment-from-art-you-love","141794","https://theobjectivestandard.com/wp-content/uploads/2006/05/getting-more-enjoyment-from-art-you-love.jpg"
"7349","From the Editor, Summer 2006","from-the-editor-2","114792","https://www.theobjectivestandard.com/wp-content/uploads/2018/09/Biddle-Ayn-Rand-Meetup-London.jpeg"
"7351","Letters and Replies, Summer 2006","letters-replies","114853","https://www.theobjectivestandard.com/wp-content/uploads/2018/10/Letter-to-the-Editor.jpg"
"8218","Islamic 'Heaven'","islamic-heaven",\N,\N
"7297","Religion vs. Free Speech","religion-vs-free-speech","112690","https://www.theobjectivestandard.com/wp-content/uploads/2018/06/Religion-v.-Free-Speech.png"
"23","Altruism: The Morality of Logical Fallacies","altruism-the-morality-of-logical-fallacies","28577","https://www.theobjectivestandard.com/wp-content/uploads/2010/02/President_Reagan_presents_Mother_Teresa_with_the_Medal_of_Freedom_1985.jpg"
"24","The Society for Military History: A Report from the Front","the-society-for-military-history-a-report-from-the-front","107560","https://www.theobjectivestandard.com/wp-content/uploads/2012/12/Kansas_State_University_Hale_Library.jpg"
"8286","Michael Farris Interview on 'Fresh Air'","michael-farris-interview-on-fresh-air-2",\N,\N
"26","Theocracy and Precedent","theocracy-and-precedent","3592","http://beta.theobjectivestandard.com.s178790.gridserver.com/wp-content/uploads/2012/04/Rick_Santorum_by_Gage_Skidmore.jpg"
"8219","Notes on the Near Eastern Legacy of Islam","notes-on-the-near-eastern-legacy-of-islam","107443","https://www.theobjectivestandard.com/wp-content/uploads/2012/12/Mosque_in_Afghanistan.jpg"
"29","Legitimizing the Iranian Theocracy","legitimizing-the-iranian-theocracy",\N,\N
"8220","Heroes at Harvard","heroes-at-harvard",\N,\N
"8221","Sex-Changes for Freedom","sex-changes-for-freedom",\N,\N
"8222","Terrorism and the Koran","terrorism-and-the-koran","146255","https://theobjectivestandard.com/wp-content/uploads/2006/06/shutterstock_171645866.jpg"
"8223","Altruism: The Morality of Suffering and Death (Exhibit 347R: Organ Donation)","altruism-the-morality-of-suffering-and-deathexhibit-347r-organ-donation",\N,\N
"8224","Somalia and Our Tragic Flaw","somalia-and-our-tragic-flaw",\N,\N
"8225","It's Religion and Altruism, Stupid","its-religion-and-altruism-stupid",\N,\N
"8226","Of Mice and Men","of-mice-and-men",\N,\N
"8227","It's Religion and Altruism, Stupid: Take Two","its-religion-and-altruism-stupid-take-two",\N,\N
"8228","On a Deluded America","on-a-deluded-america",\N,\N
"8229","Gay Marriage and Rights vs. Democracy","gay-marriage-and-rights-vs-democracy",\N,\N
"8230","The Taliban Can… Because We Let Them","the-taliban-can-because-we-let-them",\N,\N
"42","Writing Opportunity for Objectivists","writing-opportunity-for-objectivists",\N,\N
"43","Reason Delivers Again","reason-delivers-again",\N,\N
"47","God's Word Cast in Plastic","gods-word-cast-in-plastic",\N,\N
"56","Iran's 'Lucky Break'","irans-lucky-break",\N,\N
"59","Hezbollah Murders 56 Lebanese, Including 34 Children","hezbollah-murders-56-lebanese-including-34-children","149935","https://theobjectivestandard.com/wp-content/uploads/2006/07/Destroyed_balustrade_in_bombed_Beirut_house_July_20_2006.jpg"
"7194","19th-Century French Painting and Philosophy","19th-century-french-painting-philosophy","123710","https://www.theobjectivestandard.com/wp-content/uploads/2019/06/Portrait-of-Madame-Récamier.jpg"
"7354","From the Editor, Fall 2006","from-the-editor-3","114792","https://www.theobjectivestandard.com/wp-content/uploads/2018/09/Biddle-Ayn-Rand-Meetup-London.jpeg"
"7356","Letters and Replies, Fall 2006","letters-replies-2","114853","https://www.theobjectivestandard.com/wp-content/uploads/2018/10/Letter-to-the-Editor.jpg"
"7358","The Decline and Fall of American Conservatism","decline-fall-american-conservatism","114873","https://www.theobjectivestandard.com/wp-content/uploads/2018/10/The-Decline-and-Fall-of-American-Conservatism.jpg"
"7360","The Jihad on America","jihad-on-america","114875","https://www.theobjectivestandard.com/wp-content/uploads/2018/10/The-Jihad-on-America.jpg"
"73","As Predicted...","as-predicted",\N,\N
"75","How to Solve America's Terrorism Problem in 5 Easy Steps","how-to-solve-americas-terrorism-problem-in-5-easy-steps",\N,\N
"76","Stop!","stop",\N,\N
